mfName,MFType,score_raw,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_0_100,rank
STAR Balanced,CP,1.23367159057372,251,1.49318937595041,-0.0045611254401371,0.0046248085471015,0.0035035616796084,0.0100272560971734,0.2038994705147248,36.90704790018473,0.0413088007727762,100.0,1
Sucorinvest Anak Pintar,CP,1.05271279343155,106,3.159341100524035,0.0504349152098853,0.0246689744815121,-0.0106641560389501,0.1991793881304467,0.2624364706880671,19.58785709074563,0.0321444966383938,93.0,2
Syailendra Balanced Opportunity Fund Kelas A,CP,0.9602516612072226,213,5.204533510710612,0.0392991053453099,0.0118935688326777,-0.0065007338865383,0.1996394224101548,0.2698569912399922,17.55769689837533,0.0346366959343241,89.4,3
Sucorinvest Citra Dana Berimbang,CP,0.935711667625271,100,2.993459474858842,-0.0021849385956583,0.0246397864871788,-0.0118568473562458,0.1859741719267014,0.2916223734272114,9.34869304638535,0.0352115944464815,88.5,4
Jarvis Balanced Fund,CP,0.827804663601588,78,3.126262430727066,0.0403876621124546,0.0205142481653851,-0.0134990302578338,0.2593579701014517,0.3389755189481822,2.899842563268515,0.0388539833584849,84.3,5
Mandiri Investa Syariah Berimbang,CP,0.7203052214762409,256,2.468849320635019,-0.0126174890887906,0.0049129297849983,0.0029093535904134,0.0771413785616308,0.160742115164684,10.53434414224779,0.0140334766583564,80.1,6
HPAM Flexi Indonesia Sehat Kelas A,CP,0.6490194701235614,174,5.501274235189076,0.0911196595113655,0.0164071255165652,-0.0057763411222136,0.1289633664289989,0.2278792822406486,19.30305516531733,0.0392977865131729,77.4,7
Schroder Syariah Balanced Fund,CP,0.5028954977458566,201,1.510288468537864,0.0068122539185012,0.0119865577616187,-0.0067916640342118,0.101890395581915,0.1524841128126522,2.035885653885763,0.0178838144307319,71.7,8
Guru,CP,0.46501850792693,231,2.199378574560565,0.0906522309831997,0.0676062575082478,-0.1389272228292529,0.1184345626559999,0.3173926190187704,12.20748574606598,0.0218088599659833,70.3,9
Trim Syariah Berimbang,CP,0.3464843208237637,229,3.031380866053711,0.0103520037370174,0.0156023722322774,0.0095120629105366,0.0510012641697974,0.1462915653273129,8.112650293790896,0.0429316976437157,65.7,10
Demina Balance Fund,CP,0.3210505070472107,156,3.45184629377322,-0.0139501304891949,0.0056392618553078,-0.0043359551586112,0.0540013829695078,0.098830409230477,9.737448085890769,0.0311811927414231,64.7,11
Prospera Balance,CP,0.3137582482591029,248,2.17671605482896,0.0811847068600991,0.01587454230683,-0.0105750532950578,0.1174565377591497,0.1790090333879057,1.809883837720427,0.0258949333161914,64.4,12
Mega Asset Strategic Total Return,CP,0.3086889244318181,160,4.033725298970316,0.008360831854099,0.0257954536861323,-0.0116938099385026,0.1117225844672305,0.1662570136012842,0.3590390910230264,0.0235703177872691,64.2,13
Trim Kombinasi 2,CP,0.1671041255862491,232,3.07190599063818,0.0234076143141483,0.0263115699701629,0.0145945660407103,0.0278824504705537,0.1402177130325442,3.202130296485806,0.0400959653591943,58.7,14
Trimegah Balanced Absolute Strategy Kelas A,CP,0.1615165919905293,79,4.096248813598182,0.0234968181812267,0.0263580390773792,0.0149632988791016,0.0384529289032948,0.1458380386708904,4.481286663055537,0.041264497535152,58.5,15
STAR Balanced III,CP,0.1516456291439292,40,2.956032100048051,-0.0148739588961955,0.0224363513733934,0.0143736970196939,-0.0055586428725844,0.0760033738505931,5.662742852558292,0.0244805401902966,58.2,16
Insight Bright (I-BRIGHT),CP,0.04703965141268,114,1.991367155288118,-0.0043351346279653,0.0038287506869336,-0.0002142216121701,0.0109988256591737,0.0731395784974242,-0.0358916857171492,0.0192726065678889,54.1,17
Prospera Value Fund,CP,0.0448325165701149,117,3.291651723009377,0.0886034573374413,0.0237347991887054,-0.0126625149892738,0.0917587772029824,0.1370552840451058,4.95164631246489,0.0310966053815708,54.0,18
Sucorinvest Premium Fund Kelas A,CP,0.0288140158460251,143,3.403748935586061,-0.0282779565224796,0.0032387585056513,-0.0020139628056718,0.0217169395135776,0.0423102440379752,0.7835010801054922,0.0026493449373053,53.4,19
Insight Bhinneka Balanced Fund,CP,-0.0184445026651218,94,2.041807869721348,0.0204759078174451,0.0133420310952856,0.0005743215151535,0.0419961101679999,0.0616453907979182,-1.136262825067684,0.013347303098379,51.6,20
Insight Growth Balanced Fund,CP,-0.021154071659871,98,2.042715217094754,0.0209109996035111,0.0071478588095244,-0.0043132226719499,0.0271002544518554,0.0460782651878239,0.8188137274007925,0.005599147401295,51.5,21
Danamas Fleksi,CP,-0.0282518256154439,251,4.866775298693436,-0.0273743275844953,0.002235259739843,-0.0013929552525212,0.0142027133126176,0.0490913545888451,1.01272429684641,0.0024734015964139,51.2,22
Insight Generate Balanced Fund,CP,-0.0467061249416643,103,1.566087657743546,0.042199207315615,0.0124413063749419,-0.007436519413681,0.0459947454128257,0.0571221467131144,-0.0257414097709346,0.0131170055234259,50.5,23
Pinnacle Balanced Growth Fund,CP,-0.0503890036479309,92,3.50820183796211,0.0023379036728612,0.0042678852522486,-0.0030175389635528,0.0294612348948042,0.0691656983818931,-3.54215996026676,0.0119035666458445,50.3,24
Insight Community Development 2,CP,-0.0532595729939775,123,2.030685059530061,0.0151106935002327,0.0091555551672628,0.0039142095654908,0.0258162355840001,0.0393616318113398,-1.149829945974143,0.0098533384077569,50.2,25
Insight Community Development,CP,-0.0591054790326134,143,0.8876894148271515,0.0424578847033906,0.0150301973824772,-0.0105228704834271,0.0414708259799998,0.0550132317666782,-1.248360730397471,0.0108121576925354,50.0,26
Insight Green (I-GREEN),CP,-0.064591308039574,118,1.805307381995721,0.030635991713821,0.0166025067493508,0.0006209222887968,0.048929752325,0.0536526717940824,-1.328075605039555,0.0133723369993953,49.8,27
Tram Alpha,CP,-0.0706077661717231,152,3.124373646380165,0.0398075455937422,0.0118598263687158,-0.0076880777829859,0.0672324749167345,0.0851694438215409,0.0038841011666212,0.0179851656425422,49.6,28
Sucorinvest Sharia Balanced Fund,CP,-0.0730599652110325,78,4.013025959274212,0.0032459195147014,0.0040625049107873,-0.0025314032346415,0.0263407433949578,0.0489205330042756,0.7806664961694574,0.0048226247943565,49.5,29
Insight Tunas Bangsa (I-Next G),CP,-0.0890687954849487,138,1.646162642474296,0.0280425768895536,0.0239402813182302,-0.0278182124559644,0.052173677582,0.0693828784659564,0.0104775845840256,0.0093456466395381,48.8,30
Schroder Dana Terpadu II,CP,-0.1168739477900021,237,1.595598897123202,0.059914115819184,0.0211676933128188,-0.0125124798504708,0.0978731272721762,0.0922215586160879,-5.009127449264413,0.0214077838438999,47.8,31
Mega Dana Kombinasi,CP,-0.1204101796960465,295,3.139043238305743,0.0442947827570511,0.0166953061158063,-0.0066766212873365,0.0398038824192525,0.0635760852965896,-1.080228946154997,0.0191166690051893,47.6,32
Sucorinvest Flexi Fund,CP,-0.1239278067847469,230,2.981397848885068,-0.0062394058283393,0.0198164461666941,-0.0109837881976656,0.1803963049148627,0.1854612572267229,-24.6418325332765,0.0280459962135191,47.5,33
Panin Dana Bersama,CP,-0.1316799437557246,203,0.7444560090368787,-0.0074470363538253,0.0081263032408111,-0.0010343306734794,0.1295109674589072,0.1542903243722518,-21.78286273665137,0.0412358237261944,47.2,34
Prospera Balance Return Optimiser,CP,-0.1502647071479387,84,5.575407040457367,0.1032044900546248,0.0228444405704332,-0.0137279759879334,0.1011498357465568,0.1392780198036589,2.744729278800099,0.030036093653541,46.5,35
Schroder Dana Kombinasi,CP,-0.1556069947561972,254,1.48572095020759,-0.0096108557871617,0.0214849561161579,-0.0158635042158681,0.0511908168499999,0.0623998665268989,-7.395500162123605,0.0094470189020512,46.3,36
KISI Balanced Fund,CP,-0.1576517532226352,37,3.07431943626809,0.0241742726508298,0.0159243996429349,-0.0085010367166536,0.0551816304122219,0.0726277672500756,-1.982891612221208,0.0203781239084605,46.2,37
Insight Tunas Bangsa Balanced Fund 2,CP,-0.178247856670636,85,3.35341744837,0.105390233638161,0.0174684256746955,-0.0028262754076088,0.0602990408149999,0.0824489739226481,0.6298987056899662,0.0122153793254033,45.4,38
Insight Fellowship,CP,-0.1843201342864308,124,1.62927879746734,0.0179704035385796,0.0347013294834002,-0.0159475141340633,0.041640553528,0.0471802396856027,-1.695904342395895,0.0123288778953613,45.2,39
BRI Balanced Regular Income Fund Kelas A,CP,-0.184875678799384,77,1.965504243473179,-0.0175505886804216,0.004491864083852,-0.0554121939317534,0.02602038812,0.0539633703481556,0.6704779491117265,0.0070470977928213,45.1,40
Manulife Dana Campuran II,CP,-0.2078097334899586,204,2.505209736074969,0.0020795608447265,0.0118926884896393,-0.0067581820218877,0.0418337850380143,0.0623253696511041,-7.352956546383777,0.019805482159449,44.2,41
Recapital Balance Fund,CP,-0.2121624841738743,103,3.146204696728901,0.0464701794135994,0.0042965487425251,-0.0027805096192967,0.0190120315737971,0.0410042965731718,-0.8073304536998829,0.0092376172576702,44.1,42
Panin Dana Berimbang,CP,-0.2281881513696143,70,1.47947078840776,-0.0138760506480391,0.0173348783208174,-0.0547260896219087,0.0242890303749998,0.0493705855957402,-0.1112472731573529,0.0114305560280815,43.5,43
Insight Benefit Balanced Fund,CP,-0.2892169617451524,74,3.281268989259344,0.085719576840554,0.0161272446108048,-0.0052105095953993,0.0454637178559997,0.05578304998273,-0.5824196489999708,0.0107657610558246,41.1,44
Panin Dana Unggulan,CP,-0.2919229636772411,248,2.074628513539816,0.0359719887453402,0.007291970740993,-0.0051785748570088,0.0821912678428071,0.1191483052709255,-24.16409328370104,0.0281232415207586,41.0,45
Schroder Dynamic Balanced Fund,CP,-0.2937802177428008,139,2.833539956174016,0.1177114003447396,0.0253831627124769,-0.0152605988234004,0.1291080959893685,0.0999961242347129,-2.32531447849466,0.0282135807714867,40.9,46
MAM Balanced Fund,CP,-0.3033350271166723,99,3.244133427175343,0.0752538182092927,0.0191749960259386,-0.0101283715525828,0.0586273317374215,0.0601768496877177,-0.4830616111557388,0.0217369781498191,40.6,47
BNP Paribas Equitra Campuran Harmoni,CP,-0.3065389995312738,245,2.532109998176222,0.0126811229367404,0.0041430732803445,-0.002415377055874,0.0183471587074746,0.0284803860022619,-10.28000922554847,0.0040249019109609,40.4,48
Sequis Balance Ultima,CP,-0.3156436252188285,111,2.787323992337155,0.1030823804936419,0.0252093389861601,-0.0154164229001563,0.0877664041909627,0.0817930233222172,-1.239159182583666,0.0235855833833411,40.1,49
BNI-AM UGM Progressive Balanced,CP,-0.3286497138086268,115,3.034098131870504,0.0145341811483589,0.0155775472453461,0.007193408002845,0.003179913632,0.0203484194827281,-3.669197972632768,0.0152390629529029,39.6,50
Purwanto Campuran Dinamis,CP,-0.3480194817129792,47,3.078438402764869,0.0254799325185198,0.0295690446109208,-0.0148343277803621,0.0855538192932918,0.0750515899091273,-4.738903868354955,0.0330730259650147,38.8,51
SAM Cipta Sejahtera Campuran,CP,-0.3818604690610429,89,3.025763518857413,0.0085147165985865,0.0772910172253028,-0.0715865304913239,0.084218858,0.1305101364990753,0.7556923080898865,0.0359489517916814,37.5,52
HPAM PREMIUM 2,CP,-0.4411320042305077,134,3.107427653072996,0.034571248333572,0.0364031562159594,-0.0301098203875885,0.0273635166199999,0.0263310029608918,0.8519086916363618,0.0147525007296314,35.2,53
Panin Dana Berimbang Dua,CP,-0.5515989359090613,69,2.659498229781435,0.0599730535615144,0.0380142753109379,-0.0432920587607282,0.0699429774239996,0.0782120982904535,-3.37314389179591,0.0239750271860414,31.0,54
Panin Dana Bersama Plus,CP,-0.6170587374495411,169,2.278562586778218,0.1222536472750977,0.0376828379486687,-0.0049567397195052,0.0630557319200002,0.0353197103830273,-6.160624264373001,0.0296676056566219,28.4,55
Simas Satu,CP,-0.6910304097542934,303,4.921374877300044,-0.0159762514866761,0.0385413622780541,0.0236034149119842,0.0120251084847455,0.0602007921839353,-27.36889497300145,0.0312513661521825,25.6,56
SAM Dana Berkembang,CP,-1.351880270458253,341,2.62083036250465,0.0461038471750518,0.0132559975425367,0.0077681716362579,0.0528030936160484,0.0850093668441045,-66.64693739538076,0.0348157212128576,0.0,57
