mfName,MFType,score_raw
STAR Balanced,CP,1.23367159057372
Sucorinvest Anak Pintar,CP,1.05271279343155
Syailendra Balanced Opportunity Fund Kelas A,CP,0.9602516612072226
Sucorinvest Citra Dana Berimbang,CP,0.935711667625271
Jarvis Balanced Fund,CP,0.827804663601588
Mandiri Investa Syariah Berimbang,CP,0.7203052214762409
HPAM Flexi Indonesia Sehat Kelas A,CP,0.6490194701235614
Schroder Syariah Balanced Fund,CP,0.5028954977458566
Guru,CP,0.46501850792693
Trim Syariah Berimbang,CP,0.3464843208237637
Demina Balance Fund,CP,0.3210505070472107
Prospera Balance,CP,0.3137582482591029
Mega Asset Strategic Total Return,CP,0.3086889244318181
Trim Kombinasi 2,CP,0.1671041255862491
Trimegah Balanced Absolute Strategy Kelas A,CP,0.1615165919905293
STAR Balanced III,CP,0.1516456291439292
Insight Bright (I-BRIGHT),CP,0.04703965141268001
Prospera Value Fund,CP,0.04483251657011493
Sucorinvest Premium Fund Kelas A,CP,0.02881401584602519
Insight Bhinneka Balanced Fund,CP,-0.01844450266512181
Insight Growth Balanced Fund,CP,-0.02115407165987102
Danamas Fleksi,CP,-0.02825182561544398
Insight Generate Balanced Fund,CP,-0.04670612494166435
Pinnacle Balanced Growth Fund,CP,-0.0503890036479309
Insight Community Development 2,CP,-0.05325957299397754
Insight Community Development,CP,-0.05910547903261344
Insight Green (I-GREEN),CP,-0.06459130803957401
Tram Alpha,CP,-0.0706077661717231
Sucorinvest Sharia Balanced Fund,CP,-0.0730599652110325
Insight Tunas Bangsa (I-Next G),CP,-0.08906879548494875
Schroder Dana Terpadu II,CP,-0.1168739477900021
Mega Dana Kombinasi,CP,-0.1204101796960465
Sucorinvest Flexi Fund,CP,-0.1239278067847469
Panin Dana Bersama,CP,-0.1316799437557246
Prospera Balance Return Optimiser,CP,-0.1502647071479387
Schroder Dana Kombinasi,CP,-0.1556069947561972
KISI Balanced Fund,CP,-0.1576517532226352
Insight Tunas Bangsa Balanced Fund 2,CP,-0.178247856670636
Insight Fellowship,CP,-0.1843201342864308
BRI Balanced Regular Income Fund Kelas A,CP,-0.184875678799384
Manulife Dana Campuran II,CP,-0.2078097334899586
Recapital Balance Fund,CP,-0.2121624841738743
Panin Dana Berimbang,CP,-0.2281881513696143
Insight Benefit Balanced Fund,CP,-0.2892169617451524
Panin Dana Unggulan,CP,-0.2919229636772411
Schroder Dynamic Balanced Fund,CP,-0.2937802177428008
MAM Balanced Fund,CP,-0.3033350271166723
BNP Paribas Equitra Campuran Harmoni,CP,-0.3065389995312738
Sequis Balance Ultima,CP,-0.3156436252188285
BNI-AM UGM Progressive Balanced,CP,-0.3286497138086268
Purwanto Campuran Dinamis,CP,-0.3480194817129792
SAM Cipta Sejahtera Campuran,CP,-0.3818604690610429
HPAM PREMIUM 2,CP,-0.4411320042305077
Panin Dana Berimbang Dua,CP,-0.5515989359090613
Panin Dana Bersama Plus,CP,-0.6170587374495411
Simas Satu,CP,-0.6910304097542934
SAM Dana Berkembang,CP,-1.351880270458253
