mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m
Principal Bond,PT,220,1.013317561312652,0.01314253479965424,0.01034868452385977,-0.006541540539830658,0.04497755034310691,0.07459212893904232,126.1581240628357,0.007093047381678073
BRI Gebyar Indonesia II,PT,213,1.140756914961937,0.1233890525806138,0.01581646511577999,-0.01017257817779095,0.06001746250119799,0.09808893436334842,6.763412522367322,0.01330477069003016
Bahana Prime Income Fund,PT,125,4.123047174085348,0.0298437463579701,0.01392547762251753,-0.00887229895413666,0.05821382863288527,0.0952851070670866,8.33903113495269,0.01134160419614719
Panin Gebyar Indonesia II,PT,213,1.113055444097632,0.1015721585992399,0.01417664235883825,-0.009008481749390264,0.05645302547622322,0.09597036745568288,5.757936978365236,0.01308474559390219
RD Haji Syariah I Hajj,PT,253,0.9958471181454238,-0.004170200203330483,0.002816141000020313,-0.001751208037483454,0.02578910837294379,0.0579419965564667,11.91723994478628,0.002126359017902639
Eastspring Syariah Fixed Income Amanah Kelas B,PT,72,1.027651504877509,0.02690747276315708,0.008015630791004525,-0.005290967716320414,0.04173301987206002,0.07597646408699088,2.216673893313895,0.00596838825568804
Insight Renewable Energy Fund,PT,175,1.481895461250461,-0.01221714974028059,0.007989232220146105,-0.009983733774681987,0.02488676485999997,0.05896274337203211,6.466089796400809,0.002065750565006675
I AM Bond Fund,PT,118,1.392295821574592,0.1022022901811662,0.01151951203870561,-0.007056926813261904,0.04609099699971364,0.0858090028120726,2.750251965524525,0.0113377388634469
AXA Bond Income Kelas O,PT,172,1.32621389968179,0.05746727560318664,0.008906272810202832,-0.005911349317494998,0.03902817063001396,0.07676400240125503,3.229292783155301,0.0101278895891572
BRI Brawijaya Abadi Pendapatan Tetap,PT,81,2.275806056691664,0.1211904924326476,0.01192302039392701,-0.007677293020654376,0.04738196399290007,0.08825179738873024,3.044412358069311,0.01351281034743381
Manulife Dana Tetap Utama,PT,157,2.465513059456478,-0.01398773387601704,0.04262743541372461,-0.04439492214931855,0.05206195675099989,0.08544092741981846,7.00006693785667,0.01033470857407751
SAM Dana Obligasi,PT,110,2.126173118629962,0.05934282468553818,0.009448006028235909,-0.005752887509914587,0.03879659844169492,0.07873821644622825,3.596347456172317,0.009748721994995768
Dana Obligasi Stabil,PT,247,1.0150987203315,0.01487413985367773,0.003610981640225234,-0.002502805732784897,0.02370544939082797,0.05354057102585896,9.23403864059878,0.005987427651814615
