mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m
Insight Money,PU,124,1.459791133828828,-0.02754425975016709,0.002299672058659014,-0.001442626228563097,0.0148256522276069,0.03076385597701758,1.223871981726627,0.0005375048076566089
Insight Money Syariah,PU,123,1.541130426758129,0.0266884788230736,0.002331974507970699,-0.001457344132870367,0.01524376783010362,0.03161516096023798,0.8858947539928811,0.0005877127976653925
Cipta Dana Cash,PU,127,1.079949743144008,0.0740309849153298,0.002369586053637794,-0.001432224426103272,0.01488120601789888,0.0317936907591474,0.5661584681399309,0.0008109185204602229
SAM Dana Kas,PU,106,1.497527894647444,-0.001650790854308564,0.00236563025284545,-0.001463836909627352,0.0148720768599675,0.03164967668192853,-0.4569122659243,0.001048476248869971
Mega Dana Kas,PU,233,0.9797477846289363,-0.02067084579194432,0.002108458547558202,-0.001323260519771584,0.01234953639694947,0.02752825665201764,0.7274009893247735,0.0007918141130862342
Pinnacle Money Market Fund,PU,111,1.692335011477537,0.1136506721028091,0.002268446610393727,-0.001397592151900555,0.01491955182760862,0.03024100839231236,0.5777029563048769,0.0005085655355686758
Manulife Indonesia Money Market Fund Kelas A,PU,213,1.490989598627116,-0.006043235567290891,0.002072505580724894,-0.001281967762091872,0.01341553209891533,0.02810854724352452,0.2224855954001923,0.0006265055238611799
KISI Money Market Fund,PU,72,0.4964985126294734,-0.007052362255795305,0.002039386585227905,-0.001258588562169968,0.01328135982355794,0.02703553744430987,0.2995173655832639,0.000430829059571692
Majoris Pasar Uang Indonesia,PU,116,0.9711961769075576,-0.02965808945434533,0.002072399594540566,-0.001308919730068446,0.01347102689558022,0.02732286637337955,-0.05398014749684491,0.0004056189186204917
Prospera Dana Lancar,PU,112,1.035960230559168,0.03471197976370047,0.001937706023899435,-0.001135289591420701,0.01400301011583815,0.02892961097138058,-0.3532436686720961,0.001070767958723351
MNC Dana Lancar,PU,257,2.696802079161964,0.0729760929371283,0.002282947990170647,-0.0014066605479242,0.01472669870946186,0.02953185625591126,0.3408108453515668,0.0005001140909515087
BRI Seruni Pasar Uang III,PU,191,1.528734888716826,0.01879651529438512,0.002256731102560397,-0.001325610300442786,0.01394729769712244,0.02767269784143189,-0.04431760951268503,0.00069916506839025
Avrist Ada Kas Mutiara,PU,104,1.128925674363905,0.114202092566057,0.002241618119793779,-0.001307259759032362,0.01443489485178051,0.02890179711390206,0.291374802778145,0.0006883397393913827
Syailendra Dana Kas,PU,126,1.054224519150383,0.05143545626702343,0.002069132559972626,-0.001270624088401031,0.0138099750109999,0.02836735315317429,-0.2294167182258647,0.0005639072112122196
PNM Dana Tunai,PU,130,1.161862702546013,0.1393131066100325,0.002175755477164355,-0.001353756165708502,0.01377475051822463,0.02721849290196232,0.5096984845581749,0.0009485895640956161
Demina Money Market Fund,PU,100,3.236488801319075,0.07306955649674761,0.002245158733163358,-0.001364077366543129,0.01508793495940508,0.02900801206496051,0.470349898018679,0.0008017358959316943
Purwanto Likuid Plus,PU,46,1.034161905719925,0.03303342110261057,0.002236818224051509,-0.001388041924944404,0.01419564722436228,0.0277218165128863,-0.6154477458235954,0.0008838723939178997
Majoris Pasar Uang Syariah Indonesia,PU,95,1.006588411107496,0.006545288058946765,0.001920545570666052,-0.001205379203037602,0.01263581888613197,0.02640367866612814,-0.01880148112052693,0.0004545156570897008
STAR Money Market Kelas Utama,PU,98,1.507760415332141,0.00514698174406661,0.001847625650778664,-0.001161940354589583,0.0122576120793727,0.02620927964816833,0.2226564499196367,0.0005821638637752384
PNM PUAS,PU,258,1.309282822387926,0.04527885142478509,0.002395566533856861,-0.001496655867502115,0.0137897052407383,0.02509133878884051,-1.012574110860795,0.001161537355650445
Capital Money Market Fund,PU,120,2.269441291666358,0.1187258258919394,0.002048414255510515,-0.001308899390875455,0.01342054654358926,0.02845930577291522,1.017533545399557,0.0004745393723106818
Capital Sharia Money Market,PU,96,2.144806195876093,0.06751481609597987,0.002071434206462867,-0.001346437970003813,0.01298980868254129,0.02745629379121484,0.2655885033046905,0.0005097297042831341
Syailendra Sharia Money Market Fund,PU,98,1.147365452895381,0.1284381123063305,0.002047836302698192,-0.001286173636467613,0.01327929966521779,0.02849707384320754,-0.003049830150516197,0.0005791625227669499
BRI Seruni Pasar Uang Syariah,PU,89,1.073289004145195,0.06828450106368615,0.001803691682843749,-0.001130371125105556,0.01260452399052525,0.02754340463712501,0.1826098515448453,0.0008771275246191084
Sucorinvest Money Market Fund,PU,134,3.677246668329648,0.04820091887122728,0.002072325516219524,-0.001290683048711346,0.01303824285382227,0.02777369733495361,-0.4064786868401342,0.001097205618037917
Danamas Rupiah Plus,PU,236,1.001437033360483,0.001434971258912984,0.001815112239930424,-0.001142594979846724,0.01214675241314134,0.02567307512916028,-0.5120798649917391,0.0004300149083794322
Premier Pasar Uang II,PU,116,1.09691576627858,0.08835297044492153,0.002007105322745415,-0.001212102809451812,0.01299992881395484,0.02652433136119048,-0.1766577746403317,0.0004899691041442032
HPAM Ultima Money Market,PU,124,2.307368994873186,0.1332118943940647,0.002142859020845952,-0.00129852581953545,0.01507764111926524,0.02838275830492942,0.0047432811564248,0.0006378472723600399
BRI Gamasteps Pasar Uang,PU,37,1.084100291086016,0.07757611705995163,0.00193489204791332,-0.001207119726021716,0.01297165372815257,0.02667869909029053,-0.3026758233275247,0.00158841240596659
Trimegah Kas Syariah,PU,108,2.074336531472877,0.03583629287967745,0.001955490330128706,-0.001223829957363328,0.01271851975761096,0.02641185003286961,-0.03842532185287734,0.0004717821901265825
BNI-AM Dana Likuid Kelas A,PU,156,1.66954571536944,0.1015520053201552,0.002018628323253398,-0.001189802488664054,0.01302412726388602,0.0278392598378312,-0.8798487778891904,0.0007043208932261776
Panin Dana Likuid,PU,162,0.3565764274337844,0.158665641026679,0.00196348351402417,-0.001179209531671372,0.01274979595647863,0.0271212490714543,-0.8362145301732881,0.000833657858714728
Manulife Dana Kas II Kelas A,PU,204,2.002866813965019,0.001431355267874161,0.001888302929525901,-0.001136332493183697,0.01229905067111048,0.02552315001666616,-0.7660578628220205,0.0006468640119839718
Ashmore Dana Pasar Uang Nusantara,PU,111,1.070741478243507,0.06606774808010071,0.001650170913521927,-0.001028990849246497,0.01144834590628885,0.02762072431249796,-0.5498562844762439,0.000919949479289186
Trim Kas 2 Kelas A,PU,214,2.175140935230265,0.08051935044462931,0.00195568252341221,-0.001225361168304997,0.0126681058706255,0.02611962970268555,-0.09274274290904737,0.0005063172001254324
Sequis Liquid Prima II,PU,43,1.690848047983278,0.1128711998756527,0.002039345705951344,-0.001285849216265845,0.01309776638520344,0.02693629361533878,0.243131938937564,0.0003892934370866405
Manulife Dana Kas II Kelas I3,PU,52,2.002866813965019,0.001431355267874162,0.001886769094158204,-0.001134243745271297,0.01229300260503896,0.02547619059487083,-0.4823014124974704,0.000649572611628429
PNM Falah 2,PU,75,1.107861010093077,0.09735969504334777,0.001483640421139796,-0.0009461285344570214,0.01062001725957673,0.02324818760300484,0.2974354444674498,0.001719555812661265
Sucorinvest Sharia Money Market Fund,PU,86,1.612076649387079,0.06952315166260321,0.00185905408206786,-0.001208207454536952,0.01208733995983535,0.02495738955582305,-0.4257346460560479,0.0008520560679070028
Bahana Revolving Fund,PU,143,3.215719888581506,0.067082922659866,0.001955846364639646,-0.001227843186678737,0.012847582566621,0.02691946841225379,-0.1586997186592436,0.000732969400496018
BNI AM Dana Pasar Uang Kemilau Kelas A,PU,129,1.416088630055585,0.117286889062209,0.001745729308461563,-0.001061034985935622,0.01146050322331593,0.0265590687904298,-0.9648565282806627,0.001103818562198502
PNM Arafah,PU,84,1.123636295580712,0.1100323085565827,0.001707045019822658,-0.001092382149965297,0.01131738425217743,0.02456918803176955,-0.431817840355936,0.001437673801225493
Panin Dana Likuid Syariah,PU,95,0.5098705800585039,0.01935899117256657,0.00186104553866671,-0.00115351705948849,0.01172446832432339,0.02358229958727298,-0.965452515206182,0.0005108531519498953
Mandiri Pasar Uang Optima 2,PU,95,1.542381608083078,0.02747802999009544,0.001345727511126099,-0.0008551840452745901,0.00969288724127848,0.02406356278427402,-0.1580051929143275,0.0005230278536696547
Bahana Cash Management,PU,94,4.231831429880914,0.05478276574155455,0.001880449006188721,-0.00118463931950062,0.01251776346353028,0.02547001416945949,0.2377759672611587,0.000749224697153929
Bahana Likuid Syariah Kelas S,PU,131,3.416674845535105,0.121953321393639,0.00211094140644267,-0.001317152938070616,0.01310482229933085,0.02636492782553645,0.01016763027757089,0.0005314533913174863
BRI Seruni Pasar Uang II Kelas A,PU,216,1.663311079761182,0.09818432748288443,0.001996001904969712,-0.001173819801177176,0.01237160970881623,0.02472176960605843,-0.8114706269570093,0.0006037594101931873
Valbury Money Market I,PU,101,1.108381464865547,0.09778354140800602,0.001776902985285219,-0.001077841110221062,0.01176074589453346,0.02421660938039594,-0.3252217102397471,0.0005629300641668173
Manulife Dana Kas Syariah,PU,87,1.956948130703503,-0.02199949432539147,0.001759576954922776,-0.001070157050325804,0.01152897207109627,0.02307674707366703,-0.9851542852380037,0.0007062366857854429
BNIAM Dana Lancar Syariah,PU,150,0.9894844983437536,-0.01062725254801641,0.001511326455446718,-0.0009220322135169738,0.01038567278798497,0.02254448843928736,-1.20052153897798,0.0008072720416355005
Schroder Dana Likuid,PU,260,1.069966246423686,0.06539107813685263,0.001741368001304865,-0.001087631086181176,0.01094762597385346,0.02384308637849397,-1.380808145781004,0.0009047102574857876
Maybank Dana Pasar Uang,PU,172,1.154378421833053,0.1337329413936148,0.001786619653951914,-0.001091422292663625,0.01144941528778087,0.02410441451198464,-0.5629493567905512,0.0005301290072102396
Batavia Dana Kas Maxima,PU,228,2.189895951856852,0.0867146001598096,0.0017978417603981,-0.001123439333116634,0.01202377874238469,0.02417073308981132,-0.9927858252200938,0.0004866477842064175
Bahana Gebyar Dana Likuid,PU,39,1.680561601512307,0.1074412275930994,0.002050539530565311,-0.00129225169066139,0.01284257697665625,0.02459398394804801,-0.6102386385886451,0.0006183164007436414
Principal Cash Fund,PU,169,1.14012385820414,0.1229023120565646,0.001731003715874026,-0.00108781511363681,0.01148870972386229,0.0247593075359791,-1.063273794709109,0.0008556824339541964
Bahana Likuid Syariah Kelas G,PU,68,4.555566460713472,0.121953321393639,0.002105345279811758,-0.001311689967756173,0.01306850784775282,0.02629850283657897,-0.128369767007289,0.0005758303569628819
Allianz Rupiah Liquid Fund Kelas A,PU,175,1.587511424484546,0.0551249100540871,0.001615312947480022,-0.001017152075505287,0.01055088241129587,0.0233994916088438,-1.427974349655746,0.0008152033732036073
BRI Gebyar Dana Likuid,PU,238,1.515463146449096,0.01020357801859337,0.001727651259467734,-0.001048380158543229,0.01095072074177628,0.02211708248780342,-1.416365182886583,0.0005013181949018832
Bahana Dana Likuid Kelas G,PU,262,2.295867658250733,0.1288696485563808,0.001831068206018558,-0.001129981325159358,0.01220324792936278,0.02506773787807748,-0.9176307786473556,0.0005709372654776626
UOBAM ESG Pasar Uang Indonesia,PU,61,1.166500266417401,0.142734872173465,0.001774640049686891,-0.001051109932856068,0.01176072061349998,0.02485432732132553,-0.7412404827094445,0.001090105174771449
