mfName,MFType,score_raw
Insight Money,PU,0.6807162402697379
Insight Money Syariah,PU,0.6453013937370637
Cipta Dana Cash,PU,0.5893031572393952
SAM Dana Kas,PU,0.5049629918451987
Mega Dana Kas,PU,0.3904069229558605
Pinnacle Money Market Fund,PU,0.3857176430664895
Manulife Indonesia Money Market Fund Kelas A,PU,0.3810887472135803
KISI Money Market Fund,PU,0.3686670835649569
Majoris Pasar Uang Indonesia,PU,0.3633428177474895
Prospera Dana Lancar,PU,0.3290426259963313
MNC Dana Lancar,PU,0.3137217378346674
BRI Seruni Pasar Uang III,PU,0.3031969251099619
Avrist Ada Kas Mutiara,PU,0.264567853202856
Syailendra Dana Kas,PU,0.2507283158278598
PNM Dana Tunai,PU,0.2384912803885337
Demina Money Market Fund,PU,0.2312777516315201
Purwanto Likuid Plus,PU,0.2101195106390208
Majoris Pasar Uang Syariah Indonesia,PU,0.2074728403397273
STAR Money Market Kelas Utama,PU,0.1992585128900557
PNM PUAS,PU,0.1847475581036387
Capital Money Market Fund,PU,0.1731790347683634
Capital Sharia Money Market,PU,0.1574907670348736
Syailendra Sharia Money Market Fund,PU,0.1510249574897457
BRI Seruni Pasar Uang Syariah,PU,0.1291785036375361
Sucorinvest Money Market Fund,PU,0.1202829469494233
Danamas Rupiah Plus,PU,0.1160550993490897
Premier Pasar Uang II,PU,0.1040970758927285
HPAM Ultima Money Market,PU,0.08245811594398406
BRI Gamasteps Pasar Uang,PU,0.07301237561257408
Trimegah Kas Syariah,PU,0.06246302429271858
BNI-AM Dana Likuid Kelas A,PU,0.05534389253269134
Panin Dana Likuid,PU,0.0359742998038431
Manulife Dana Kas II Kelas A,PU,0.03162275804947959
Ashmore Dana Pasar Uang Nusantara,PU,0.03075453906280307
Trim Kas 2 Kelas A,PU,0.0239827888433035
Sequis Liquid Prima II,PU,0.008874800837073624
Manulife Dana Kas II Kelas I3,PU,-0.008071375027848406
PNM Falah 2,PU,-0.0138274191145255
Sucorinvest Sharia Money Market Fund,PU,-0.04590352932734118
Bahana Revolving Fund,PU,-0.05025236978798401
BNI AM Dana Pasar Uang Kemilau Kelas A,PU,-0.1092103463985724
PNM Arafah,PU,-0.1218087151221592
Panin Dana Likuid Syariah,PU,-0.1469090729816758
Mandiri Pasar Uang Optima 2,PU,-0.1691150152044344
Bahana Cash Management,PU,-0.1701471757802704
Bahana Likuid Syariah Kelas S,PU,-0.1780029993961272
BRI Seruni Pasar Uang II Kelas A,PU,-0.1780656579487888
Valbury Money Market I,PU,-0.1792544019703503
Manulife Dana Kas Syariah,PU,-0.2062000115965059
BNIAM Dana Lancar Syariah,PU,-0.2146898652858922
Schroder Dana Likuid,PU,-0.2393454333620663
Maybank Dana Pasar Uang,PU,-0.2431827547762356
Batavia Dana Kas Maxima,PU,-0.2578243629314856
Bahana Gebyar Dana Likuid,PU,-0.2587704218874902
Principal Cash Fund,PU,-0.2590414898789822
Bahana Likuid Syariah Kelas G,PU,-0.2926186692416213
Allianz Rupiah Liquid Fund Kelas A,PU,-0.2936204047980728
BRI Gebyar Dana Likuid,PU,-0.2940422933131315
Bahana Dana Likuid Kelas G,PU,-0.300092513173117
UOBAM ESG Pasar Uang Indonesia,PU,-0.3125160206800037
PNM Dana Kas Platinum 2,PU,-0.3198285093987401
Mandiri Investa Pasar Uang Kelas A,PU,-0.3302453591527263
Sequis Liquid Prima,PU,-0.3533708071613285
UOBAM Dana Rupiah,PU,-0.362191912565704
Eastspring Syariah Money Market Khazanah Kelas B,PU,-0.3759524724306923
Bahana Likuid Plus,PU,-0.3809227029829733
Maybank Syariah Money Market Fund 2,PU,-0.4262619840581495
Mandiri Pasar Uang Syariah Kelas A,PU,-0.4491749661964149
Simpan Cash Fund,PU,-0.4581444664061574
BNP Paribas Rupiah Plus,PU,-0.7115764756947686
Jarvis Money Market Fund,PU,-0.8147725412498245
Phillip Money Market Fund,PU,-0.927852078844156
Batavia Dana Likuid,PU,-1.077909392630315
