mfName,MFType,score_raw
Demina Mitra Maxima Ekuitas,SH,2.132774126130454
Bahana Icon Syariah Kelas G,SH,1.106255354412226
Simas Syariah Unggulan,SH,0.9326857593934175
Sucorinvest Maxi Fund,SH,0.8445523790329086
Jasa Capital Saham Progresif,SH,0.6666176302715405
SAM Indonesian Equity Fund,SH,0.6458568004195296
HPAM Ekuitas Syariah Berkah,SH,0.6288710574693849
Bahana Dana Ekuitas Prima,SH,0.6171348122918427
Simas Danamas Saham,SH,0.6131677370594656
Bahana Explorer Equity Fund Kelas I,SH,0.5775118535586347
Sucorinvest Saham Dinamis,SH,0.5697956571418578
Principal Islamic Equity Growth Syariah,SH,0.5647412396814837
Trim Syariah Saham,SH,0.5153358388606829
Sucorinvest Sustainability Equity Fund,SH,0.4938859175536157
Sucorinvest Sharia Equity Fund,SH,0.4693370828899546
SAM Dana Saham Nusantara Kelas S,SH,0.3891195432828776
Mandiri Investa Atraktif Syariah,SH,0.3711540410451037
HPAM Ultima Ekuitas 1,SH,0.3661087617365447
Mandiri Investa Ekuitas Dinamis,SH,0.3576742856072638
Manulife Syariah Sektoral Amanah Kelas A,SH,0.3504052679700803
Syailendra Equity Opportunity Fund Kelas A,SH,0.3500110979483519
Manulife Saham Andalan,SH,0.3052134046000138
BRI Mawar Fokus 10,SH,0.260231971204263
BNP Paribas Pesona Syariah,SH,0.2503020214932238
BMI Indo Saham Andalan,SH,0.2273997981208778
Manulife Dana Saham Utama Kelas I,SH,0.2222278268751491
Manulife Institutional Equity Fund Kelas I,SH,0.196651946782035
Manulife Saham SMC Plus,SH,0.1921623116119236
PNM Saham Unggulan,SH,0.162144678003976
Panin Dana Syariah Saham,SH,0.1601624467809164
Bahana Stellar Equity Fund Kelas I,SH,0.1505343514009853
Cipta Saham Unggulan,SH,0.1461559497917228
HPAM Smart Beta Ekuitas,SH,0.1392576482659723
BNP Paribas Solaris,SH,0.1247760829573384
Tram Consumption Plus Kelas A,SH,0.1144178724754414
Panin Dana Berkembang,SH,0.0952791054431677
Recapital Equity,SH,0.09178014498185239
Eastspring Investments Value Discovery Kelas C,SH,0.0869569175176147
Panin Dana Berdedikasi,SH,0.0737627359420992
Prospera Bijak,SH,0.07162620302616866
Schroder Dana Istimewa,SH,0.07138784969572612
Schroder Dana Prestasi Prima,SH,0.07007853152645756
Manulife Dana Ekuitas Utama Kelas I,SH,0.04281181230733909
HPAM Syariah Ekuitas,SH,0.03246197826657758
Ashmore Dana Progresif Nusantara,SH,0.0311559225630593
Prospera Saham SMC,SH,0.02719488713152692
Bahana Dana Ekuitas Andalan Kelas S,SH,0.01268620211759165
Trim Kapital Plus,SH,-0.008063158110903293
Bahana Dana Ekuitas Andalan Kelas G,SH,-0.01625656452823999
Schroder 90 Plus Equity Fund,SH,-0.03115115536507938
BRI Mawar Ekuitas Utama,SH,-0.03890494298242831
Panin Dana Ultima,SH,-0.0632700318422863
Prospera BUMN Growth Fund,SH,-0.06349337021716521
BNI - AM Dana Saham Inspiring Equity Fund,SH,-0.06680026467070362
Eastspring Investments Alpha Navigator Kelas A,SH,-0.0774078996756391
Sucorinvest Equity Fund Kelas A,SH,-0.08186362416645973
Panin Dana Infrastruktur Bertumbuh,SH,-0.08896636833547214
Eastspring Investments Value Discovery Kelas A,SH,-0.1116358307419931
BRI Mawar Ekuitas Plus,SH,-0.1386745383958683
Bahana Primavera 99 Kelas S,SH,-0.1520567569802516
Majoris Saham Alokasi Dinamik Indonesia,SH,-0.1568665195362902
Batavia Dana Saham Optimal,SH,-0.1668514019998405
UOBAM Sustainable Equity Indonesia D,SH,-0.1814751588289422
Allianz Indo Asia Equity Fund Kelas A,SH,-0.1884897037056916
Simas Saham Unggulan,SH,-0.2052642565262721
KISI Equity Fund,SH,-0.2088044595065131
Ashmore Dana Ekuitas Nusantara,SH,-0.2149880112776108
SAM Dana Cerdas,SH,-0.2274429732509116
Ashmore Digital Equity Sustainable Fund,SH,-0.2418130412033091
Mandiri Investa Atraktif Kelas A,SH,-0.24443800279898
Bahana Primavera Plus,SH,-0.2646516219115636
BNP Paribas Maxi Saham,SH,-0.2693638212944742
Allianz Alpha Sector Rotation Kelas A,SH,-0.2701561572836997
Mandiri Investa Cerdas Bangsa Kelas A,SH,-0.2711428556907094
Panin Dana Teladan,SH,-0.2811080274287099
Mandiri Investa Equity Movement,SH,-0.2936581806928967
BRI Mawar Komoditas 10,SH,-0.3085868959700839
Panin Dana Prima,SH,-0.3157531511002506
Trim Kapital,SH,-0.3263037112338085
Insight Wealth (I-Wealth),SH,-0.3344976560595169
Mandiri Investa Equity ASEAN 5 Plus,SH,-0.3391786599235474
Avrist Ada Saham Blue Safir Kelas A,SH,-0.3506890262943332
BNP Paribas Infrastruktur Plus,SH,-0.3642369305495466
BRI Mawar Konsumer 10 Kelas A,SH,-0.3753946195116458
Bahana Primavera 99 Kelas A,SH,-0.3951260892141155
Sequis Equity Maxima,SH,-0.4129443715229023
Sequis Equity Indonesia,SH,-0.4437843048459908
Maybank Dana Ekuitas,SH,-0.460944694614948
Cipta GTWS Equity,SH,-0.5152986907750717
Manulife Dana Saham Kelas A,SH,-0.5199555682529999
Rencana Cerdas,SH,-0.6280214881637416
Schroder Dana Prestasi Plus,SH,-0.7181628001148169
BNP Paribas Ekuitas,SH,-0.7330430144042899
BNP Paribas Pesona,SH,-0.8824456326188841
Schroder Dana Prestasi,SH,-1.013182690832718
Panin Dana Maksima,SH,-1.541487969743455
Batavia Dana Saham,SH,-1.956326866022295
